assoc,ano,tmi
AMAI,2010,8.011310084825636
AMAI,2011,11.14341085271318
AMAI,2012,13.5678391959799
AMAI,2013,15.88830043331729
AMAI,2014,11.7426021606388
AMAI,2015,8.98972602739726
AMAI,2016,11.11605157847932
AMAI,2017,9.036144578313253
AMAI,2018,9.836065573770492
AMAI,2019,15.97582037996546
AMAI,2020,10.77586206896552
AMAI,2021,9.22671353251318
AMAI,2022,10.87429317094389
AMAI,2023,12.99283154121864
AMARP,2010,12.78772378516624
AMARP,2011,14.29933269780744
AMARP,2012,10.19066403681788
AMARP,2013,9.89792762140427
AMARP,2014,12.34567901234568
AMARP,2015,9.201543484713566
AMARP,2016,14.6609651802077
AMARP,2017,11.46131805157593
AMARP,2018,11.58536585365854
AMARP,2019,10.57871810827629
AMARP,2020,10.62168072477351
AMARP,2021,11.19641714651312
AMARP,2022,10.66499372647428
AMARP,2023,8.873929008567933
AMAUC,2010,22.30897936419409
AMAUC,2011,25.64102564102564
AMAUC,2012,18.11805961426067
AMAUC,2013,18.62630966239814
AMAUC,2014,21.3903743315508
AMAUC,2015,16.04554865424431
AMAUC,2016,26.77077523703291
AMAUC,2017,17.45877788554801
AMAUC,2018,19.38775510204082
AMAUC,2019,16.48884578079534
AMAUC,2020,16.40135069946936
AMAUC,2021,17.36111111111111
AMAUC,2022,16.51287032540068
AMAUC,2023,14.0913508260447
AMAVI,2010,12.18499030739407
AMAVI,2011,8.89248181083266
AMAVI,2012,12.99390082206311
AMAVI,2013,12.40432831881763
AMAVI,2014,10.93041855505199
AMAVI,2015,9.147095179233622
AMAVI,2016,6.946231026498586
AMAVI,2017,13.55421686746988
AMAVI,2018,6.110975311659741
AMAVI,2019,8.830022075055188
AMAVI,2020,7.786988193921125
AMAVI,2021,11.07475459350617
AMAVI,2022,10.5521472392638
AMAVI,2023,7.805108798486282
AMEOSC,2010,10.7197549770291
AMEOSC,2011,10.60070671378092
AMEOSC,2012,9.32744231713304
AMEOSC,2013,11.28783991790662
AMEOSC,2014,11.8595825426945
AMEOSC,2015,10.98398169336384
AMEOSC,2016,10.36757775683318
AMEOSC,2017,12.44239631336406
AMEOSC,2018,14.52564684521108
AMEOSC,2019,12.02137132680321
AMEOSC,2020,7.215007215007215
AMEOSC,2021,8.932769158439116
AMEOSC,2022,11.53846153846154
AMEOSC,2023,10.81568273997296
AMERIOS,2010,4.858299595141701
AMERIOS,2011,13.38912133891213
AMERIOS,2012,7.892659826361484
AMERIOS,2013,12.22307104660046
AMERIOS,2014,3.607503607503607
AMERIOS,2015,9.95732574679943
AMERIOS,2016,7.959479015918958
AMERIOS,2017,11.9549929676512
AMERIOS,2018,8.977900552486188
AMERIOS,2019,10.72194424588992
AMERIOS,2020,8.252063015753938
AMERIOS,2021,14.77832512315271
AMERIOS,2022,7.790368271954674
AMERIOS,2023,10.05747126436782
AMESC,2010,10.90604026845638
AMESC,2011,14.76170392239561
AMESC,2012,7.509386733416771
AMESC,2013,10.86502298370246
AMESC,2014,9.030231645072634
AMESC,2015,11.62340178225494
AMESC,2016,12.89343951459992
AMESC,2017,10.74870274277242
AMESC,2018,10.76066790352505
AMESC,2019,9.403254972875226
AMESC,2020,11.43911439114391
AMESC,2021,7.423904974016332
AMESC,2022,9.793253536452665
AMESC,2023,9.654660230226513
AMFRI,2010,9.513080485667793
AMFRI,2011,13.10679611650485
AMFRI,2012,12.57861635220126
AMFRI,2013,10.88270858524788
AMFRI,2014,11.25103220478943
AMFRI,2015,11.73302558184266
AMFRI,2016,9.343065693430658
AMFRI,2017,9.74878140232471
AMFRI,2018,10.44315292408282
AMFRI,2019,8.99577749219754
AMFRI,2020,9.98650472334683
AMFRI,2021,8.535367293198947
AMFRI,2022,9.89216647357633
AMFRI,2023,10.47729918509895
AMMOC,2010,10.41666666666667
AMMOC,2011,11.32075471698113
AMMOC,2012,16.53439153439153
AMMOC,2013,11.24338624338624
AMMOC,2014,9.51776649746193
AMMOC,2015,11.16990005878895
AMMOC,2016,12.5
AMMOC,2017,10.3866128101558
AMMOC,2018,8.675534991324465
AMMOC,2019,11.65501165501166
AMMOC,2020,7.660577489687684
AMMOC,2021,13.58535144713526
AMMOC,2022,10.69217782779966
AMMOC,2023,10.11904761904762
AMNOROESTE,2010,8.156606851549755
AMNOROESTE,2011,13.0718954248366
AMNOROESTE,2012,10.98901098901099
AMNOROESTE,2013,17.24137931034483
AMNOROESTE,2014,11.51315789473684
AMNOROESTE,2015,12.98701298701299
AMNOROESTE,2016,8.237232289950576
AMNOROESTE,2017,9.230769230769232
AMNOROESTE,2018,17.67304860088365
AMNOROESTE,2019,9.11854103343465
AMNOROESTE,2020,16.4424514200299
AMNOROESTE,2021,12.89398280802292
AMNOROESTE,2022,11.18881118881119
AMNOROESTE,2023,8.012820512820513
AMOSC,2010,9.297520661157025
AMOSC,2011,9.842009842009842
AMOSC,2012,11.77625122669284
AMOSC,2013,10.97105508870215
AMOSC,2014,6.805807622504537
AMOSC,2015,8.754650908295032
AMOSC,2016,11.88340807174888
AMOSC,2017,10.68734283319363
AMOSC,2018,8.595988538681949
AMOSC,2019,10.37509976057462
AMOSC,2020,10.22816679779701
AMOSC,2021,11.23370110330993
AMOSC,2022,8.668242710795903
AMOSC,2023,6.554121151936445
AMPLANORTE,2010,10.426249616682
AMPLANORTE,2011,13.77331420373027
AMPLANORTE,2012,9.143553794574824
AMPLANORTE,2013,11.08715737603942
AMPLANORTE,2014,10.58041112454655
AMPLANORTE,2015,9.504608294930875
AMPLANORTE,2016,6.746396810794234
AMPLANORTE,2017,9.137983551629608
AMPLANORTE,2018,11.35040745052386
AMPLANORTE,2019,10.0030312215823
AMPLANORTE,2020,11.09350237717908
AMPLANORTE,2021,6.872852233676976
AMPLANORTE,2022,11.50895140664962
AMPLANORTE,2023,11.52073732718894
AMPLASC,2010,3.978779840848806
AMPLASC,2011,13.59703337453646
AMPLASC,2012,11.39240506329114
AMPLASC,2013,15.7958687727825
AMPLASC,2014,8.50546780072904
AMPLASC,2015,11.12484548825711
AMPLASC,2016,13.66742596810934
AMPLASC,2017,7.075471698113208
AMPLASC,2018,13.18681318681319
AMPLASC,2019,10.16949152542373
AMPLASC,2020,7.509386733416771
AMPLASC,2021,14.40576230492197
AMPLASC,2022,16.83501683501683
AMPLASC,2023,6.002400960384154
AMREC,2010,9.506833036244801
AMREC,2011,12.16772744290528
AMREC,2012,14.45783132530121
AMREC,2013,10.68139963167588
AMREC,2014,11.00052383446831
AMREC,2015,10.01554135727854
AMREC,2016,6.674863867907957
AMREC,2017,9.244723530437817
AMREC,2018,9.453420419388106
AMREC,2019,6.807595843783591
AMREC,2020,10.01251564455569
AMREC,2021,7.866976577865189
AMREC,2022,9.984235417761429
AMREC,2023,8.632840028188866
AMUNESC,2010,9.32642487046632
AMUNESC,2011,11.17171006333568
AMUNESC,2012,8.032829826246397
AMUNESC,2013,8.46784863720561
AMUNESC,2014,8.487523340689187
AMUNESC,2015,9.907475640710718
AMUNESC,2016,5.624201107797187
AMUNESC,2017,8.842105263157894
AMUNESC,2018,8.607721878656193
AMUNESC,2019,8.323939998265846
AMUNESC,2020,8.162571209931128
AMUNESC,2021,8.325872873769024
AMUNESC,2022,7.526693506038859
AMUNESC,2023,7.172957948534028
AMURC,2010,14.01869158878505
AMURC,2011,18.30443159922929
AMURC,2012,19.6629213483146
AMURC,2013,16.45338208409506
AMURC,2014,17.94145420207743
AMURC,2015,9.000900090009
AMURC,2016,13.44086021505376
AMURC,2017,7.393715341959335
AMURC,2018,12.59445843828715
AMURC,2019,11.77536231884058
AMURC,2020,9.319664492078285
AMURC,2021,13.91650099403579
AMURC,2022,13.84767556874382
AMURC,2023,11.68969181721573
AMUREL,2010,10.04901960784314
AMUREL,2011,12.74486665093226
AMUREL,2012,10.40462427745665
AMUREL,2013,8.926527809567407
AMUREL,2014,9.265536723163843
AMUREL,2015,10.2285092491839
AMUREL,2016,9.138381201044387
AMUREL,2017,8.25082508250825
AMUREL,2018,9.580583351075155
AMUREL,2019,10.18076044047372
AMUREL,2020,7.467463196074248
AMUREL,2021,6.775354647469829
AMUREL,2022,13.53884607373464
AMUREL,2023,10.67839195979899
AMURES,2010,19.85423473234481
AMURES,2011,14.30685742476566
AMURES,2012,15.973630831643
AMURES,2013,16.31935726839066
AMURES,2014,17.17464925012095
AMURES,2015,13.79811183732752
AMURES,2016,14.6191935864183
AMURES,2017,14.44812884888678
AMURES,2018,13.6919315403423
AMURES,2019,16.51651651651651
AMURES,2020,15.80531861515303
AMURES,2021,16.85985247629083
AMURES,2022,14.96848739495798
AMURES,2023,10.14957264957265
AMVALI,2010,9.83698707138842
AMVALI,2011,13.31967213114754
AMVALI,2012,4.736973323360758
AMVALI,2013,10.64099315936154
AMVALI,2014,8.432539682539682
AMVALI,2015,8.441706593657313
AMVALI,2016,8.678881388621022
AMVALI,2017,9.822263797942002
AMVALI,2018,9.480919649205973
AMVALI,2019,7.722007722007723
AMVALI,2020,10.21592755978639
AMVALI,2021,6.826741996233522
AMVALI,2022,7.938308006350647
AMVALI,2023,8.968609865470851
AMVE,2010,11.95814648729447
AMVE,2011,11.12594570538496
AMVE,2012,11.05810928013877
AMVE,2013,10.50558108995404
AMVE,2014,10.8209343460618
AMVE,2015,11.18178087812885
AMVE,2016,7.455731593662628
AMVE,2017,9.119746233148296
AMVE,2018,9.722897423432183
AMVE,2019,10.3295622233153
AMVE,2020,7.853146166683027
AMVE,2021,10.1
AMVE,2022,9.252879220395709
AMVE,2023,9.623176661264182
GRANFPOLIS,2010,9.394258229370209
GRANFPOLIS,2011,9.615384615384617
GRANFPOLIS,2012,8.725879682179341
GRANFPOLIS,2013,7.789343075756531
GRANFPOLIS,2014,8.85486018641811
GRANFPOLIS,2015,7.896399241945672
GRANFPOLIS,2016,7.233851866077716
GRANFPOLIS,2017,9.115770282588878
GRANFPOLIS,2018,7.60226861349101
GRANFPOLIS,2019,7.926187380023531
GRANFPOLIS,2020,8.38301043219076
GRANFPOLIS,2021,7.41858418206966
GRANFPOLIS,2022,7.963454534230509
GRANFPOLIS,2023,7.484747468394239
SC,2010,10.75510276441597
SC,2011,12.07133058984911
SC,2012,10.7804262605326
SC,2013,10.65936755902708
SC,2014,10.37197528745495
SC,2015,10.11098425237346
SC,2016,9.106933019976498
SC,2017,10.02705066406329
SC,2018,9.778232890602254
SC,2019,9.731814055024534
SC,2020,9.477704924729865
SC,2021,9.388795622707207
SC,2022,9.85743380855397
SC,2023,9.063194336795329
